year_month,week_id,city_id,city,gas_id,gas_type,venue_name,gas_price,collected_date
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Petrocal Petroleo Cavalcanti Limitada,7.29,10/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Posto Apipucos Ltda,7.29,10/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Posto Maratona Ltda,7.45,10/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Wl Comércio de Combustíveis Ltda,7.49,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,R-1 Comercio de Combustiveis Ltda,7.49,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Posto Ipanema Ltda,7.49,11/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Sodic Sociedade Revendedora de Combustiveis Ltda,7.52,10/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Pnh Comercio de Combustiveis Ltda.,7.55,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Posto de Lubrificacao Sao Judas Tadeu Ltda,7.55,11/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Posto de Combustiveis Jaguaribe Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Posto 4 Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Sao Rafael Posto e Serviços Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Coelho Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Posto Jequitaia Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Posto Maratona Ltda,7.62,10/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Ferreira e Queiroz Derivados de Petroleo Ltda,7.62,11/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Posto de Abastecimento e Servicos Nota 10 Ltda,7.62,11/05/2022
202205,1195,1347,Fortaleza,476,GNV,Posto Predileto Comercial de Petroleo Ltda,5.65,11/05/2022
202205,1195,1347,Fortaleza,476,GNV,Cigla Comercio Varejista de Derivados de Petroleo Ltda - Me,5.77,10/05/2022
202205,1195,1347,Fortaleza,476,GNV,Raimundo Bezerra de Andrade e Cia Ltda,5.79,10/05/2022
202205,1195,1347,Fortaleza,476,GNV,Barracuda Comercial de Petróleo Ltda.,5.79,10/05/2022
202205,1195,1347,Fortaleza,476,GNV,Chac Comercial de Combustiveis Ltda,5.79,10/05/2022
202205,1195,1347,Fortaleza,476,GNV,Montese Comercial de Combustíveis Ltda,5.79,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Auto Posto Budião Ltda.,5.85,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Posto de Lubrificacao Sao Judas Tadeu Ltda,5.85,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Posto de Combustíveis Vei-gas Ltda.,5.85,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Petromerc Derivados de Petroleo Ltda.,5.85,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Posto de Combustiveis Rodoviaria Ltda.,5.89,09/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Wl Comércio de Combustíveis Ltda,5.89,09/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Posto de Combustiveis Portal de Salvador Ltda.,5.89,09/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Posto de Combustiveis Jaguaribe Ltda,5.9,10/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,M-30 Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Coelho Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Posto Bernardo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Pnh Comercio de Combustiveis Ltda.,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Trevo Derivados de Petroleo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Auto Posto Meridional Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Posto Jequitaia Ltda,7.62,09/05/2022
202205,1195,5406,Recife,812,DIESEL S10,Petro Joquei Combustivel Ltda,6.79,11/05/2022
202205,1195,5406,Recife,812,DIESEL S10,Posto Iputinga Eireli,6.85,11/05/2022
202205,1195,5406,Recife,643,ETANOL HIDRADATO,Braz Combustiveis Eireli,5.78,10/05/2022
